epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.3654,1.03044,2.48985,1.31927,0.02485,0.97647,0.59353,0.41745,0.91469,3.0992,1.23051,0.00032,0.00032,0.00032
2,135.334,0.91753,1.54205,1.18851,0.66615,0.1878,0.35778,0.19314,1.31876,3.49876,1.55675,0.000653466,0.000653466,0.000653466
3,201.553,0.99279,1.42458,1.22144,0.67676,0.64043,0.65447,0.42071,1.26423,2.72373,1.78987,0.0009802,0.0009802,0.0009802
4,269.073,0.98493,1.35195,1.20952,0.5011,0.52941,0.46047,0.27407,1.35691,2.67156,1.57196,0.0013002,0.0013002,0.0013002
5,337.919,0.95251,1.1624,1.19141,0.48024,0.58235,0.49302,0.20235,1.90392,2.72258,2.18567,0.00161347,0.00161347,0.00161347
6,406.661,0.98306,1.18412,1.20952,0.12844,0.26471,0.09195,0.04016,2.43284,4.6199,2.47257,0.001901,0.001901,0.001901
7,473.861,0.99278,1.05546,1.21005,0.48919,0.58235,0.53077,0.29048,1.55776,2.21197,1.88325,0.0018812,0.0018812,0.0018812
8,540.564,0.96874,1.05527,1.20522,0.34453,0.41432,0.33176,0.19052,1.77711,4.85472,2.18329,0.0018614,0.0018614,0.0018614
9,607.178,0.92991,0.96617,1.17324,0.40815,0.58235,0.50002,0.30694,1.41723,5.82728,1.82643,0.0018416,0.0018416,0.0018416
10,672.528,0.94225,0.95519,1.18239,0.47232,0.46471,0.46753,0.25616,1.46688,3.91481,1.77042,0.0018218,0.0018218,0.0018218
11,739.72,0.91282,0.89417,1.15191,0.65696,0.60588,0.64525,0.38776,1.44947,2.09245,1.64127,0.001802,0.001802,0.001802
12,805.262,0.89387,0.87032,1.16507,0.69683,0.61765,0.66225,0.44183,1.26315,1.55704,1.40622,0.0017822,0.0017822,0.0017822
13,868.704,0.85153,0.79052,1.11854,0.74997,0.75882,0.78636,0.55068,1.122,1.36046,1.37897,0.0017624,0.0017624,0.0017624
14,931.877,0.86786,0.82798,1.13345,0.74804,0.82941,0.81385,0.55284,1.06711,1.4006,1.32242,0.0017426,0.0017426,0.0017426
15,995.21,0.90195,0.82213,1.13907,0.73954,0.75882,0.76887,0.53133,1.11257,1.39113,1.32085,0.0017228,0.0017228,0.0017228
16,1059.31,0.86896,0.78328,1.13196,0.83204,0.78824,0.80728,0.57822,1.11168,1.10518,1.35457,0.001703,0.001703,0.001703
17,1122.7,0.85183,0.78629,1.12198,0.85584,0.80325,0.83196,0.60862,1.02579,1.02818,1.25666,0.0016832,0.0016832,0.0016832
